Car;Time;kmPerH;WhPerKm;Date;Temp;TAvg;Notes;Youtube
Opel Ampera-e;13:50;72,3;262;22.5.2022;11-15°C;13°C;;Pfy2zA3y95c
Xpeng G3 - 520i;13:50;72,3;244;28.11.2020;-7-1°C;-3°C;Norway;gXU6yXLnR6Q
BMW i3 - 42 kWh;14:00;71,4;221;14.11.2020;4-8°C;6°C;Norway, 50/50 wet;n1eyd-4VDL4
Mercedes EQV - 7 seater;14:00;71,4;460;12.2.2021;-23-(-13°C);-18°C;Norway, very cold;NMIX6evy0a0
Nissan Leaf - 62 kWh;14:10;70,6;177;29.10.2019;-1-9°C;4°C;;Ps8hwnxzk4c
Hyundai Ioniq - 38 kWh;14:20;69,8;200;19.01.2020;0-7°C;3.5°C;;rOHJy_8mQLg
Renault Zoe - ZE50;14:35;68,6;227;12.01.2020;1-7°C;4°C;Wet 80 % of the route;ZdNkGC89AxQ
MG ZS EV - 44.5 kWh;14:40;68,2;267;07.02.2020;0-8°C;4°C;;wK4AKGg3s-8
Lexus UX - 300e;14:45;67,8;257;01.05.2021;5-12°C;8.5°C;Norway;FE6pDydUYdI
VW e-Golf - 35.8 kWh;15:50;63,2;181;30.11.2019;-11-2°C;-4.5°C;;G_B1Z9lrBwU
Honda e;16:00;62,5;208;04.07.2020;11-19°C;15°C;Norway;CRnFq_LCOxo
